n^2,,,,,
number,orig,ave,orig-ave,stdd,orig place
0,85,115.0518993,-30.05189929,149.0768818,1647
1,100,79.01899293,20.98100707,63.60369716,1301
2,58,56.26082155,1.739178445,37.71129802,1613
3,53,34.48144876,18.51855124,15.2508214,602
4,121,79.50662544,41.49337456,58.00392525,1098
5,19,27.25375442,-8.253754417,14.88404412,3154
6,108,90.61042403,17.38957597,88.20722618,1215
7,66,50.07884276,15.92115724,22.52836283,1212
8,98,64.93551237,33.06448763,50.45700416,1006
9,68,55.2270318,12.7729682,30.57148046,1494
10,58,46.52782686,11.47217314,29.05323832,929
11,84,59.42336572,24.57663428,34.70064245,981
12,73,48.98564488,24.01435512,31.15177874,417
13,80,118.8915636,-38.8915636,156.5749714,1774
14,59,42.10931979,16.89068021,16.02020096,546
15,70,51.37963781,18.62036219,26.15091261,1054
16,80,103.9918286,-23.99182862,118.2450298,1779
17,94,54.70693463,39.29306537,30.45892394,505
18,121,91.19545053,29.80454947,78.44556814,1189
19,98,150.495583,-52.49558304,456.9840759,1121
20,250,61.72327739,188.2767226,42.81960028,19
21,150,133.9211572,16.07884276,180.7641898,1077
22,161,103.992712,57.00728799,117.1927254,842
23,94,78.36329505,15.63670495,59.81137787,1431
24,81,61.67314488,19.32685512,36.92994949,1197
25,82,61.23630742,20.76369258,34.73134255,1177
26,72,44.46841873,27.53158127,25.06189107,506
27,52,37.3180212,14.6819788,13.91317449,365
28,74,44.34982332,29.65017668,22.80370162,488
29,103,65.72879859,37.27120141,41.10804884,903
30,87,49.66055654,37.33944346,24.58168252,356
31,66,51.57729682,14.42270318,24.72494871,1401
32,83,61.69390459,21.30609541,34.78684383,1234
33,184,176.0419611,7.958038869,287.0141478,1051
34,144,96.10600707,47.89399293,84.39438053,1051
35,82,60.28555654,21.71444346,36.54463175,1354
36,123,92.44037102,30.55962898,76.69631716,1270
37,78,58.14730565,19.85269435,32.19880392,1318
38,82,109.1340548,-27.13405477,140.1154809,1702
39,120,88.92667845,31.07332155,95.44228185,961
40,78,72.50949647,5.490503534,54.84439036,1537
41,147,78.6534894,68.3465106,68.38623055,691
42,54,37.88847173,16.11152827,14.38062133,402
43,172,119.2568463,52.74315371,130.7509588,930
44,52,37.3180212,14.6819788,13.91317449,365
45,55,59.07972615,-4.079726148,37.6328337,1892
46,109,102.7133392,6.286660777,111.9024175,1317
47,48,35.64686396,12.35313604,12.50650304,586
48,98,56.56272085,41.43727915,31.99931739,510
49,116,81.60379859,34.39620141,61.07224552,1202
50,80,117.8087456,-37.80874558,180.2262898,1595
51,108,74.02230565,33.97769435,54.0779537,1196
52,66,51.04969081,14.95030919,23.43259552,1234
53,137,116.2131184,20.78688163,122.8246647,1275
54,172,103.4306537,68.56934629,93.58093026,924
55,92,41.25883392,50.74116608,29.11106673,200
56,203,100.6545936,102.3454064,104.9393647,562
57,75,46.11439929,28.88560071,23.45013289,436
58,100,107.7371908,-7.737190813,116.5271955,1561
59,211,74.82862191,136.1713781,64.45417232,191
60,225,77.05830389,147.9416961,63.25779224,151
61,68,103.9785777,-35.97857774,129.8110333,1892
62,129,59.27075972,69.72924028,56.56194822,292
63,117,72.63537986,44.36462014,58.41792854,902
64,103,157.7784894,-54.7784894,273.5038254,1506
65,39,32.54416961,6.455830389,10.68447205,1358
66,40,32.27385159,7.72614841,10.32318337,1128
67,71,44.10821555,26.89178445,18.78626631,305
68,57,44.28820671,12.71179329,25.56935974,751
69,122,156.4154152,-34.41541519,245.1686733,1401
70,199,58.94059187,140.0594081,35.24353379,50
71,158,141.1373675,16.86263251,196.9006138,1126
72,56,36.71952297,19.28047703,13.66574567,235
73,78,56.38957597,21.61042403,34.15522917,1042
74,57,50.82553004,6.174469965,30.62612286,1607
75,57,51.52606007,5.473939929,31.44405446,1605
76,139,85.06316254,53.93683746,66.58491075,955
77,127,114.7815813,12.21841873,130.7176871,1267
78,133,122.7064929,10.29350707,212.675645,915
79,136,85.60689046,50.39310954,86.02445707,887
80,77,47.97018551,29.02981449,23.27231145,573
81,74,52.07332155,21.92667845,25.79725953,1067
82,110,49.84893993,60.15106007,25.22070719,100
83,109,94.90834806,14.09165194,97.50532848,1202
84,189,50.39222615,138.6077739,32.62275474,44
85,160,66.00154594,93.99845406,104.829018,227
86,171,59.17844523,111.8215548,38.93748902,90
87,57,38.73542403,18.26457597,13.60430389,139
88,320,122.545053,197.454947,135.7027928,398
89,93,99.8409894,-6.840989399,102.137627,1553
90,100,134.9348498,-34.93484982,187.8860994,1597
91,101,62.20980565,38.79019435,39.49169268,683
92,79,60.81316254,18.18683746,47.96140034,1250
93,235,148.5764134,86.42358657,256.9546438,638
94,158,77.47062721,80.52937279,80.63445975,452
95,95,55.99249117,39.00750883,29.33095147,501
96,141,70.30256184,70.69743816,45.11486001,321
97,147,74.4145318,72.5854682,52.3986969,439
98,127,68.36484099,58.63515901,42.44928715,410
99,149,72.33988516,76.66011484,47.82151259,335
100,34,38.22835689,-4.22835689,17.13227921,2336
101,60,59.017447,0.982553004,38.58029241,1652
102,68,83.51303004,-15.51303004,82.14471258,1739
103,176,122.3365724,53.66342756,209.0300464,727
104,59,49.69103357,9.308966431,24.81681453,1584
105,63,49.88228799,13.11771201,29.85201375,1074
106,50,41.84297703,8.157022968,17.15072548,1428
107,128,167.7464664,-39.74646643,298.8452263,1272
108,192,114.3045495,77.69545053,454.4973622,710
109,65,54.83392226,10.16607774,30.17705083,1600
110,92,61.72946113,30.27053887,39.48990005,1001
111,90,72.01457597,17.98542403,52.2152911,1453
112,54,49.02981449,4.970185512,22.96704591,1705
113,97,45.9995583,51.0004417,20.50115268,54
114,58,52.42822438,5.571775618,27.62639869,1638
115,108,158.725265,-50.72526502,270.7183009,1484
116,116,69.90415194,46.09584806,55.39893944,851
117,382,62.37389576,319.6261042,49.53527403,7
118,131,131.6548145,-0.654814488,151.8473286,1457
119,64,49.33281802,14.66718198,24.50095298,1309
120,89,66.29394876,22.70605124,43.24898065,1271
121,97,163.3871466,-66.38714664,390.7613594,1487
122,69,71.77031802,-2.770318021,73.85637075,1384
123,61,34.01590106,26.98409894,13.24097845,107
124,65,45.90812721,19.09187279,18.24924233,643
125,168,92.65150177,75.34849823,85.75139471,754
126,155,116.2276943,38.77230565,121.3153509,1105
127,134,106.9249117,27.07508834,103.9565969,1225
128,97,100.2115724,-3.211572438,93.0462423,1619
129,180,92.16718198,87.83281802,70.82924778,580
130,47,35.3010159,11.6989841,12.39969219,579
131,85,97.5684629,-12.5684629,110.9906352,1554
132,70,55.31338339,14.68661661,33.72146847,1357
133,131,53.14995583,77.85004417,52.74405494,258
134,67,58.65525618,8.344743816,33.42705012,1689
135,59,65.62787102,-6.627871025,43.49850217,1918
136,83,132.7723057,-49.77230565,196.0890121,1636
137,39,35.67977032,3.320229682,11.7932692,2155
138,116,71.5165636,44.4834364,50.39681486,888
139,148,124.1084364,23.8915636,154.2540624,1064
140,96,70.8754417,25.1245583,50.58999029,1175
141,108,137.0960689,-29.0960689,173.0907481,1596
142,96,90.99249117,5.007508834,91.30848934,1409
143,50,87.3014576,-37.3014576,99.81530593,2062
144,81,49.8469523,31.1530477,27.42556155,505
145,76,45.97040636,30.02959364,22.18350246,278
146,88,89.38361307,-1.383613074,198.6705798,1501
147,124,166.3219965,-42.32199647,387.0026218,1482
148,100,130.4730565,-30.47305654,182.8577939,1558
149,83,82.21974382,0.780256184,63.22064109,1666
